昵称,性别,时间,点赞,评论,IP属地,二级评论条数,二级评论等级,uid,rpid
康纳kobayashi,男,2024-11-12 11:07:33,2,,广东,139,回复 @快乐从2023开始 :这么厉害的吗？我只听过李子柒螺蛳粉，还以为她是卖螺蛳粉的,6,157219587,246625881345
pzmtxwd,保密,2024-11-12 11:10:17,0,,山东,139,想你姐姐终于回来了[打call][打call][打call],6,485912299,246626048369
老姜不吃沙姜,保密,2024-11-12 11:11:23,2,,福建,139,姐打赢官司了吗，真的太不容易了[大哭],5,514436404,246937992480
大约翰123,男,2024-11-12 11:13:12,4,,广东,139,回复 @洛克威尔诺曼 : 以前都有人搬子柒在油管的评论发到B站，或许等一，二天吧！我也很想看,6,414868425,246938216560
佐雍得尝者,保密,2024-11-12 11:14:57,3,,贵州,139,回复 @快乐从2023开始 :我也是最早微博看她视频，当时可喜欢了，后来不玩微博了在youtube看,6,383445005,246938429600
从观音那请来的逗比,女,2024-11-12 11:16:07,0,,广东,139,看完第一个来第二个发现还是慢了一步[doge_金箍],5,14293822,246938399200
几号放假,保密,2024-11-12 11:16:58,0,,贵州,139,回复 @魔幻掌控 :油管也更了吗？[大哭][大哭][大哭],6,5495219,246938650896
大约翰123,男,2024-11-12 11:19:47,5,,广东,139,"回复 @洛克威尔诺曼 : 刚搜一搜话咁快就有,https://www.bilibili.com/video/BV1fcm8Y6ELE/?spm_id_from=333.337.search-card.all.click&amp;vd_source=d0ea7ba680ce87b853c8853dd96b0141",6,414868425,246938759856
冬雪落年年,保密,2024-11-12 11:20:38,33,,四川,139,回复 @啵饺 :中国国风开始兴起后，向国外输出中华传统的第一人，打破了国外对中国农村全是贫苦的刻板印象,5,359446587,246626776401
晚风遗落星辰,男,2024-11-12 11:21:06,21,,浙江,139,回复 @魔幻掌控 :她的视频风格也是现象级的！！！我看到现在央视很多节目，涉及那种药膳食谱的，都在向李子柒的风格靠近[星星眼]太强了,5,350812323,246938862560
圆兔道士,男,2024-11-12 11:26:16,10,,湖北,139,回复 @Hgfghfxbkisszcko : 人家现在是有官方的身份的 中国文化推广大使 还有什么什么 非遗传承人  不太记得了 头衔有点多了,6,2187348,246939395696
_星河不消散,男,2024-11-12 11:27:59,0,,辽宁,139,巧了，懂王也回来了[大哭][大哭][大哭],6,21567957,246627484129
圆兔道士,男,2024-11-12 11:29:34,2,,湖北,139,回复 @Hgfghfxbkisszcko : 用网红2个字 说别人的身份都有点贬低人了属于是。,6,2187348,246939680592
虔州王祖贤分贤,保密,2024-11-12 11:34:09,0,,江西,139,回复 @西风永远不是东风 :233没硬实力播放破千都难,5,554579324,246939985440
朴勇子的铁刘海子,女,2024-11-12 11:39:30,0,,上海,139,回复 @超級電玩胖 :油管也更新了,6,148228059,246628403217
打不倒de空气人,男,2024-11-12 11:40:38,0,,广东,139,回复 @快乐从2023开始 :你生孩子够早的，看她时你上小学，现在你的娃都上学了，厉害[doge],5,434651187,246628491457
Hgfghfxbkisszcko,保密,2024-11-12 11:43:23,1,,广东,139,回复 @康纳kobayashi :那个牌子的螺蛳粉好像不是她的了,3,3546378894576371,246628682193
HC-VAPE-小林测评,保密,2024-11-12 11:56:28,1,,广东,139,回复 @魔幻掌控 :质量网红,5,1742375897,246629766353
HC-VAPE-小林测评,保密,2024-11-12 11:56:48,1,,广东,139,回复 @西风永远不是东风 :油管账号,5,1742375897,246629774849
U好奇心害死猫N,男,2024-11-12 12:02:18,0,,浙江,139,回复 @魔幻掌控 : 顶流不是野兽先生吗,6,86668442,246942238656
西风永远不是东风,保密,2024-11-12 12:05:57,0,,江苏,139,回复 @cat9________ :知道，是绑卡这种事,5,1212444261,246630561809
西风永远不是东风,保密,2024-11-12 12:06:10,0,,江苏,139,回复 @虔州王祖贤分贤 :慢慢来呗，谁是天选之子,5,1212444261,246630486673
wault511,保密,2024-11-12 12:15:18,4,,浙江,139,回复 @麻衣为了我活着 :停更的3年里还涨了不少粉丝,5,70468965,246631105329
小智小智胸怀大志,保密,2024-11-12 12:21:19,6,,吉林,139,回复 @U好奇心害死猫N :谁规定只能有一个顶流了,6,242611333,246943886496
波光粼粼的带鱼,男,2024-11-12 12:29:38,2,,上海,139,回复 @大爷的欢乐源泉 :微博快过亿了[喜极而泣][喜极而泣],6,19842864,246632347681
雯_浩,男,2024-11-12 12:35:26,1,,江苏,139,女神真的腹泻式更新啊,6,69659819,246944986128
bili_1631086408,保密,2024-11-12 12:40:42,13,,美国,139,回复 @魔幻掌控 :真的很火，油管各国的粉丝都有，英文日文泰文韩文，越南文字，俄文还有阿拉伯文字,4,1631086408,246945449648
快乐从2023开始,保密,2024-11-12 12:49:36,5,,安徽,139,回复 @打不倒de空气人 :你是不是不识字啊？我追她时，娃上小学怎么了？小学有6年，我娃去年考大学的啊！你自己阅读理解有问题吧？真无语！,5,110538940,246946104704
快乐从2023开始,保密,2024-11-12 12:50:18,0,,安徽,139,回复 @loelovv :好像15年吧,5,110538940,246946125184
只有雪碧可以吗,男,2024-11-12 13:01:00,0,,湖南,139,回复 @不能让人知道 :现在油管热度也高呀，不比国内差,6,82203625,246947087184
喜欢吃书皮呀i,男,2024-11-12 13:28:31,0,,湖北,139,回复 @麻衣为了我活着 :刚看了2000万了,5,372844872,246636995505
牛二车纳姆,保密,2024-11-12 13:31:42,1,,贵州,139,回复 @魔幻掌控 :她值得一切褒奖！,6,277653924,246949646448
心平气和版,保密,2024-11-12 13:35:49,29,,山东,139,"三四年没有视频，今天突然无预兆直接发视频，瞬间微博抖音b站全平台爆，抖音一个小时就百万点赞，10万评论，8100万人在看[喜极而泣]  🐮到所有208w就算买数据买热搜也到不了这效果[笑哭],油管我看的时候播放量刷的飞快，好多人现在是凌晨三四点在看她视频，棒子成天爱吹的爱豆就算预热数据发视频都比不上她。,再有说时间过去太久，现在网红多今非昔比，看看这些数据就知道，依旧唯一全球顶流啊！👍🏻",6,52280516,246949908512
yu鱼仔yu,保密,2024-11-12 13:42:57,9,,广东,139,回复 @魔幻掌控 :确实是世界顶流网红了，油管快2000万的关注是个什么概念[喜极而泣],6,32264407,246950642032
crystal水水啊,保密,2024-11-12 13:44:46,8,,广东,139,回复 @麻衣为了我活着 :下午油管上看的是1990万，现在2000万了,5,400992457,246638223697
桃谷六仙宇都,保密,2024-11-12 13:52:03,1,,山东,139,视频做的确实无敌,5,133434393,246638783905
超級電玩胖,保密,2024-11-12 13:54:44,7,,四川,139,回复 @crystal水水啊 :2000万了，真的秒涨20万粉，太恐怖了[星星眼],5,1410589954,246638954417
麻雀喳喳ye行记,保密,2024-11-12 13:58:17,1,,广东,139,回复 @快乐从2023开始 :最开始uc追的她，uc有一个大鱼号也是在更新，通过那个大鱼号知道她在微博更新，就在微博又看了一遍她作品，我还是现在才知道她抖音哔哩哔哩都有号,4,480379756,246639306561
戏三毛,保密,2024-11-12 14:05:59,1,,四川,139,爱你李子柒 我今天驾驶证考过了了 今天过年了,5,100330053,246639837537
迷糊小强,男,2024-11-12 14:12:20,0,,北京,139,回复 @快乐从2023开始 :网红界“田园妙工派”祖师[打call],6,648864542,246953103968
长大了的包子,保密,2024-11-12 14:20:19,0,,河南,139,她的气质，她的聪明，她的毅力，她的能力，真就像别人对她的赞美，奇女子。,5,384146696,246641226753
猫猫曾,保密,2024-11-12 14:22:04,2,,四川,139,回复 @快乐从2023开始 :真的是鼻祖，现在好几个很火的同类型up可以说都是模仿的她,5,450737751,246641269025
戏三毛,保密,2024-11-12 14:25:01,0,,四川,139,专程到各频道给你加油，今天是个好日子【比心】【比心】【666】[呲牙][呲牙][鼓掌][鼓掌]【玫瑰】【玫瑰】,5,100330053,246641628657
泠藜酱,保密,2024-11-12 14:25:44,0,,四川,139,回复 @快乐从2023开始 :我跟你一样，太感动了，看到柒姐又更新了,5,65535683,246641517457
初夏こ,保密,2024-11-12 14:27:45,0,,湖南,139,回复 @超級電玩胖 :我去瞅瞅,6,282068556,246641817057
纯黑色落幕,男,2024-11-12 14:37:02,2,,四川,139,回复 @鄂西佬男孩 :肯定是鼻祖了，以前谁还拍过这个,5,20991456,246642672577
-舒阳,保密,2024-11-12 14:58:09,0,,安徽,139,今夕是何年[黑眼圈_金箍],5,1863624634,246957113088
bili_2044716156,保密,2024-11-12 15:01:29,1,,浙江,139,回复 @大约翰123 :翻最有趣的那个UP叫和光莫同尘,5,2044716156,246644627025
晨思-,保密,2024-11-12 15:06:32,0,,江苏,139,好开心，欢迎回归，我又有下饭视频了,5,692137613,246958028320
辣椒喵,女,2024-11-12 15:08:15,0,,重庆,139,回复 @快乐从2023开始 :我也是从微博追的[大哭][大哭][大哭],6,14940750,246645279921
红旗耀眼全球,保密,2024-11-12 15:38:15,0,,广东,139,"[doge_金箍][doge_金箍][doge_金箍]？吗天少多零年少多利胜役战湖津长是天今道知你么那,powered by ikun_framework_v9527@f3jg5dl2",5,375490101,246960733824
bili_88738437285,保密,2024-11-12 15:45:52,2,,中国台湾,139,回复 @梅1艾 :已超2OOO万。,4,3493290288614086,246648314065
唐童藤,保密,2024-11-12 16:21:42,1,,广东,139,回复 @大爷的欢乐源泉 :看到你这条评论，久违打开微博想看看新视频多少播放，然后发现！我一年半没中奖的微博，居然收到了一条中奖通知！！（紫漆视频已经118M播放了,5,285689660,246963967040
叭垃玛咩,保密,2024-11-12 16:36:20,0,,广东,139,回复 @快乐从2023开始 :差不多哈哈哈哈，但是我是初高中才开始看的,5,1912077801,246965049824
善羽的随手拍,男,2024-11-12 16:45:31,0,,湖南,139,回复 @快乐从2023开始 :最开始是美拍[大哭],6,434434164,246652502513
酒浅意深a,保密,2024-11-12 17:25:10,1,,广东,139,回复 @啵饺 : 跟以前公司打官司吧？以前新闻，好久了~,5,549942731,246967563888
荆棘岭,保密,2024-11-12 18:22:41,1,,新疆,139,回复 @大爷的欢乐源泉 :已经过亿播放了,4,20766985,246656414001
papagona,保密,2024-11-12 21:16:41,1,,广东,139,回复 @快乐从2023开始 :她最早应该是美拍火的,5,349299914,246972506176
papagona,保密,2024-11-12 21:17:15,1,,广东,139,回复 @西风永远不是东风 :你要发视频要合法注册公司那种,5,349299914,246972654608
西风永远不是东风,保密,2024-11-12 23:59:37,1,,江苏,139,回复 @papagona :啊，这么复杂啊，就做个普通的u啊,5,1212444261,246662145585
纯美咩咩,女,2024-11-13 00:05:50,3,,广东,139,回复 @快乐从2023开始 : 我从美拍追到微博然后到B站[墨镜],6,30329702,246976029056
明天会比今天更喜欢你,保密,2024-11-13 00:11:20,0,,广西,139,[星星眼]好想拥有这个衣帽间,6,244437401,246976129392
深海里的鲸_,女,2024-11-13 00:52:08,2,,江西,139,回复 @大爷的欢乐源泉 :1.2亿了[笑哭][笑哭]一般只有吃瓜的时候能到这个数,6,432172542,246978081520
YYMMSHU,保密,2024-11-13 01:04:47,0,,广东,139,回复 @西风永远不是东风 :我也没下载油管美没搞明白,4,3461564678015235,246978699680
荔枝味的沙琪玛,女,2024-11-13 01:23:38,1,,广东,139,回复 @快乐从2023开始 : 当初追她的时候我还没生娃，现在已经两个了[喜极而泣]，终于盼回来了,2,471092194,246665854449
西风永远不是东风,保密,2024-11-13 04:15:00,0,,江苏,139,回复 @YYMMSHU :哈哈，这个不好搞哈,5,1212444261,246676316449
快乐从2023开始,保密,2024-11-13 04:53:44,0,,安徽,139,回复 @荔枝味的沙琪玛 :幸福[给心心],5,110538940,246994086304
papagona,保密,2024-11-13 06:14:32,0,,广东,139,回复 @西风永远不是东风 :不然不合法翻墙,5,349299914,246999504976
papagona,保密,2024-11-13 06:14:48,0,,广东,139,回复 @纯美咩咩 :我也是美拍认识她的,5,349299914,246999429424
圆兔道士,男,2024-11-13 06:30:57,1,,湖北,139,回复 @老姜不吃沙姜 :川普上位 传媒这块的狗粮断了 外资也撤的差不多了 就没力道打压中国影响力文化这块了。不过后面的文化博弈还很难说，反正好莱坞是崩了 啊哈哈哈,6,2187348,247000491072
太行阿满,保密,2024-11-13 07:20:09,1,,四川,139,回复 @诗琴剑酒 :油管已经2000万粉丝了！,6,1325344960,246688315553
里流暴脾气,保密,2024-11-13 07:51:16,1,,江苏,139,回复 @大爷的欢乐源泉 :已经1.1 亿播放量了[笑哭][笑哭][笑哭],4,1063784799,246690132673
bili_88738437285,保密,2024-11-13 10:38:04,0,,中国台湾,139,回复 @bili_88738437285 :現在2010万。,4,3493290288614086,246702096497
老姜不吃沙姜,保密,2024-11-13 11:18:26,0,,福建,139,回复 @圆兔道士 :我的天居然是这个层面的原因，我一直以为是ip被抢注，不允许她用李子柒id发内容要不然就要付费啥的…[灵魂出窍],5,514436404,247021233168
圆兔道士,男,2024-11-13 11:48:53,1,,湖北,139,回复 @老姜不吃沙姜 :最初微念 还没到那个层面 就是做局 欺负子柒读书少 不懂法被下套了 后来字节注资给微念 想出海，然后字节又跪了，中央下场 字节撤资了 后面就简单了 只有微念和子柒掰扯了，然后判合同欺诈（微念母公司拥有100%对子公司的控股，但子公司是和子柒合伙的 但微念有51%的股份所有的产出归母公司所有），打个不恰当的比方 嫁过去以为是皇后的结果是太子妃，嫁妆还都变成对方的财产了,6,2187348,247023787952
WHALECHO,保密,2024-11-13 12:43:12,0,,山东,139,回复 @大爷的欢乐源泉 :微博五个小时就破一亿了太牛了,5,201456207,247028484528
诗琴剑酒,保密,2024-11-13 13:11:41,0,,江苏,139,回复 @太行阿满 :2010了，呵呵😃,6,25469325,247030899824
炖炖有肉,保密,2024-11-13 13:23:37,0,,江苏,139,[辣眼睛]这就是球村第一中文up主的实力吗？,6,20232677,246715491617
你很赞的啦,男,2024-11-13 13:59:31,0,,山东,139,欢迎回家[星星眼],5,158961083,246718603633
生活总得带点绿,保密,2024-11-13 18:08:04,0,,山西,139,回复 @大爷的欢乐源泉 :微博破亿了[喜极而泣]1.3亿,2,177187915,247052333280
圆兔道士,男,2024-11-13 18:19:25,1,,湖北,139,回复 @老姜不吃沙姜 :国外的逻辑很奇特 就是怕有大网红或者头部网红出现，然后怕大网红 发表个人意见 煽动民意。因为它们自己就是这么干的 不管是它们国内还是在国外,6,2187348,247052803344
绝对星星,保密,2024-11-14 00:10:25,0,,浙江,139,回复 @U好奇心害死猫N :办公室小野和她是顶流。后来兄弟两个后面追,6,452217279,246742079393
想努力当个白剽怪,保密,2024-11-14 00:15:46,0,,北京,139,回复 @快乐从2023开始 :我甚至是在美拍关注的,5,417540257,246742156641
老姜不吃沙姜,保密,2024-11-14 01:36:36,0,,福建,139,回复 @圆兔道士 :原来如此，感谢～,5,514436404,247063648928
JJsydney,保密,2024-11-14 12:55:22,0,,澳大利亚,139,回复 @梅1艾 :2200万,2,491318753,246793234641
Elvira雨隐,保密,2024-11-15 12:14:36,0,,肯尼亚,139,回复 @圆兔道士 :哈哈哈哈哈,6,473486070,246872001377
圆兔道士,男,2024-11-16 06:44:28,0,,湖北,139,回复 @Elvira雨隐 :稀有IP,6,2187348,247256766416
11111啥,保密,2024-11-16 14:44:05,0,,湖南,139,不可能是一个人完成的吧！！,5,509684033,247297229200
御龙寻妖,保密,2024-12-08 07:57:41,0,,河南,139,回复 @快乐从2023开始 :我当时也是在微博看到的，后面我微博注销了。现在已经快4年了[笑哭],2,3546764619549646,249151291408
退藏于密与民同患,保密,2024-12-15 04:23:08,0,,黑龙江,139,"韃畜就是冷兵器时代的产物，遇到列强就是割地赔款等死，印第安人就是韃畜的亲戚，大家都看得到，是被降维打击的料。汉人则比白皮更科学更追求学术，感谢伏羲女娲孔子等等的传承！未来有能力降维打击野蛮人的只有华夏汉人！,七个和蛋我信。科学证明“过去=现在=未来”，过去=未来，现在=未来，所以我们现在看到的盆地和七个和蛋就是未来七个热和下蛋的蛋坑！,伪汉化川彝反骨仔潜伏崽新土司毒瘤癌细胞在远古时代就经历过核战争，数以万亿吨当量的热核在盆地倾泄开花，俗称“地狱之花”！又名“彼岸花”！至今四川盆地善在，巨坑尚存！！举世瞩目，为镇暴辟邪的终局见证者！！哈哈。。。。。,,ffgghu",2,3546793704949979,249298296705
红鲤鱼咻咻咻,保密,2024-11-12 09:06:05,8949,居然更新了！！火速留言,四川,29,,5,364438529,246928258832
风雪醉江南,保密,2024-11-12 09:56:21,20,,安徽,29,看到这么多欢迎回来的的评论和弹幕不知道up主是什么感受,6,302193525,246931820576
小时不小时,女,2024-11-12 10:06:47,1176,,江西,29,在视频前期其实我还在想婆婆怎么还没有出镜，后面等婆婆出现的那一刻真的泪崩了。祝婆婆身体安康，长命百岁！,5,524226207,246932624544
呜啦吖哈,保密,2024-11-12 10:17:51,3,,上海,29,哦哦哦哦哦哦哦哦！,6,344789561,246621869393
嘉澄澄澄,女,2024-11-12 10:25:42,39,,浙江,29,1.9w人……我等的人回来了！！,6,24267831,246934263184
踢倒一只暖壶,女,2024-11-12 10:27:38,10,,陕西,29,回复 @嘉澄澄澄 :上一个视频现在同时 3w 人[猫你太美_哭],6,152784308,246934423216
多思考qwq,保密,2024-11-12 10:36:32,275,,江苏,29,回复 @小时不小时 :婆婆这个年龄了，不能用长命百岁了，要用寿比南山[脱单doge],5,143598696,246623373249
速溶废墟,保密,2024-11-12 10:37:36,2,,广东,29,终于等到你～,5,107919895,246623335345
白社人稀,保密,2024-11-12 10:38:44,0,,江苏,29,终于等到你！！！！！！！！！！！！！,5,33603077,246623600273
评仙弋,保密,2024-11-12 10:57:07,0,,云南,29,来也[呲牙][呲牙][呲牙],2,3546771120720044,246936960560
南山的侠客,保密,2024-11-12 11:09:15,2,,广东,29,回复 @小时不小时 :千岁可好？,5,1609818491,246625952033
云小星,保密,2024-11-12 11:12:49,0,,湖南,29,久违了,6,14553612,246938267264
白牙牙-,男,2024-11-12 11:16:29,0,,重庆,29,好耶ヾ(✿ﾟ▽ﾟ)ノ,6,15172301,246938477040
镜花水月洞天月,男,2024-11-12 11:19:04,55,,广西,29,回复 @小时不小时 :还在出境的那一刻真的好感动，真怕天人永隔那真的遗憾了[委屈],6,26775335,246938741488
zooooommvv,保密,2024-11-12 11:21:36,2,,广东,29,太感动了一天被喂了两餐的感觉[笑哭][笑哭],4,3546588718828107,246938876016
连赛,女,2024-11-12 11:37:23,0,,山东,29,天呐！！！！姐姐你回来了！！、,5,183548641,246940217216
于小米335,保密,2024-11-12 11:40:09,0,,吉林,29,欢迎回归,2,690607473,246628422673
不如吃茶去VAEvae,男,2024-11-12 11:47:44,17,,江苏,29,回复 @小时不小时 :祝福老人的话要说寿比南山！不要说长命百岁！记住啦？,4,1285197100,246941125776
小时不小时,女,2024-11-12 12:32:55,10,,江西,29,回复 @不如吃茶去VAEvae :记住啦记住啦！！我重发：祝婆婆身体安康，寿比南山！！！！！,5,524226207,246944886112
不如吃茶去VAEvae,男,2024-11-12 12:34:53,1,,江苏,29,回复 @小时不小时 :嗯嗯[给心心][给心心]祝婆婆安康，寿比南山，柒姐事业蒸蒸日上，祝大家生活幸福呀[给心心][给心心],4,1285197100,246944865104
若小则7777777,女,2024-11-12 12:50:28,4,,上海,29,回复 @小时不小时 :是的，希望婆婆身体能健健康康的，陪伴柒姐一年又一年！！,5,342755376,246633927905
湘丫,女,2024-11-12 13:22:35,3,,河南,29,工作后第一次打开平板学习，学习了一会打开哔站就看到了子漆更新了，超级感动，算是对我学习的肯定，好像又回到了在学校上晚自习的间隙看子漆视频的感觉，甚是感动。,5,266169532,246948859888
鸮貘,保密,2024-11-12 23:27:46,2,,广东,29,回复 @小时不小时 :我就是来翻这条的 看了一会没看见婆婆我慌了,6,8310775,246661025521
夏日飞行,女,2024-11-13 04:11:59,0,,安徽,29,回复 @入殇qwq :活好你自己吧,5,334728138,246990431056
挑剔食鬼,保密,2024-11-13 04:32:21,0,,广西,29,回复 @小时不小时 :健康长寿就好了[微笑]祝老人一般还是别长命百岁了,5,180479724,246992103824
雨将来,女,2024-11-13 04:46:13,0,,四川,29,寿越期颐,6,36147703,246993311616
梦花耶,保密,2024-11-13 06:23:47,0,,黑龙江,29,回复 @入殇qwq :老哥，我挺你，因为长命百岁确实是多用于小孩子的，用在婆婆身上显然不合适[脱单doge],6,313254086,246685371313
汤姆俊,保密,2024-11-13 07:32:14,0,,山东,29,长命百岁一般是给小宝宝的祝福[tv_doge],4,238403047,247004052320
忘记密码怪,保密,2024-11-13 12:37:17,0,,广西,29,终于等到你，还是熟悉的感觉,4,1846123962,246711861889
你有小狗么,保密,2024-11-25 13:56:01,0,,浙江,29,养殖组搭羊棚的时候就应该找子柒帮忙[doge][doge],2,1790913614,248061902528
znwyts,男,2024-11-12 09:01:00,4222,"我去,攒了这么多好东西",山西,9,,5,40769631,246927799248
吃肉膀的喵酱,保密,2024-11-12 19:14:44,51,,重庆,9,这么多年 自己拿手机拍都拍不完,4,3493089308052114,246970810736
苍术001,保密,2024-11-13 00:10:55,216,,广东,9,最开始从微博看，大半夜还会躲在被窝里慢慢看，烦躁的心情会平静下来。追博主有6，7年了。坚持拍摄不容易，加油,4,1196309737,246976121968
离家出走的阿玖,保密,2024-11-13 02:01:24,28,,浙江,9,突然首页刷到新作品，莫名有点感动，up发生好多事却仍然没忘初心，我好开心[给心心][给心心][给心心],6,386828535,246981586592
小不点娜儿,保密,2024-11-13 11:36:03,5,,安徽,9,回复 @苍术001 :我也是，一直都是微博看 第一次在这里看她,4,1880760775,246706883665
cloverseaker,保密,2024-11-14 05:19:41,0,,湖北,9,p,3,3546667540286337,247079593696
得遇斋了了,保密,2024-11-15 01:13:28,2,,上海,9,准备好荷包哦，她线下古风服饰门店估计就要开了，价格一定很美丽。,5,427146139,247146239408
江沉--_,男,2024-11-16 16:58:01,1,,广东,9,回复 @苍术001 :是真的，今晚本来很浮躁，但看了姐姐的视频后心情平静了很多，想起了假期回老家待着的那段时间，一切都是那么美好静谧，在外面时不得不快节奏，慢下来真的会发现幸福来的很容易。,4,1959724656,246981361585
华灵林欣,男,2024-11-17 14:39:14,2,,上海,9,回复 @得遇斋了了 : 小心之心度君子之腹。费心费力的服装店有她这几个视频赚钱吗？,5,132798378,247057231265
Camellia-Evans,保密,2024-12-08 02:25:18,1,,福建,9,在学校关了两个礼拜，前天晚上发的英语21世纪报里看到头版就是子柒老师回归了，真的太激动了！！,3,3537105194060382,248707724369
洛新儿,男,2024-11-12 09:00:40,7308,腹泻式更新[doge],四川,81,,6,77368752,246616404673
叶湛熙,女,2024-11-12 09:02:54,61,,上海,81,意满离[doge_金箍],6,2810149,246928011200
Yi想吃不想胖,女,2024-11-12 09:03:31,46,,湖北,81,是真的吗？更新。,5,373752254,246616565617
Lexie王也,保密,2024-11-12 09:03:39,11,,江苏,81,意满离,5,1316826532,246928109344
Mr味精66,男,2024-11-12 09:03:43,3,,广东,81,好评！！[妙啊],6,30508687,246616571025
張王清,女,2024-11-12 09:03:44,1,,江苏,81,意满离,6,19105080,246616645601
Arazr麒,保密,2024-11-12 09:04:08,229,,浙江,81,现在是双黄，腹泻式更新还得再看，再探[喵来啦_nice],6,178448470,246616582417
喵大禾,女,2024-11-12 09:04:38,4,,江苏,81,[星星眼][星星眼][星星眼][星星眼][星星眼],6,2871704,246927992688
人工智障从入门到放弃,男,2024-11-12 09:04:43,14,,安徽,81,毕竟攒了三年了[doge_金箍],5,423826408,246928059360
中奖就氪648,女,2024-11-12 09:05:09,5,,陕西,81,回复 @Yi想吃不想胖 :[洛天依],6,93881871,246616609137
seven是薄荷味儿,保密,2024-11-12 09:05:13,22,,云南,81,井喷式推送,5,355605100,246928072208
Honey_Sakura,女,2024-11-12 09:05:44,0,,辽宁,81,笑死,5,388670055,246616721409
炎焱燚炏火,男,2024-11-12 09:05:54,7,,广东,81,毕竟4年的存货[doge],6,106834002,246928330928
想吃山楂糕_,男,2024-11-12 09:06:01,10,,河南,81,几年没更新把姐姐憋坏了[doge],5,1178779817,246928334064
酱油小仙女了,保密,2024-11-12 09:06:07,2,,广东,81,姐姐,4,352139835,246928176208
小饱008,男,2024-11-12 09:06:22,2,,广东,81,估计是憋了很久了,5,44080380,246616802369
雅川_,女,2024-11-12 09:06:23,4,,安徽,81,过年了过年了握草,6,41697395,246616803009
十二点钟的太阳,保密,2024-11-12 09:06:31,0,,海南,81,哈哈哈哈,5,19094861,246616698961
话说名字确定一定以及肯定得长,男,2024-11-12 09:07:19,15,,江西,81,"一天三次以上：腹泻,一周三次以下：便秘",6,49626810,246928368400
要起飞的渣渣牛,保密,2024-11-12 09:07:24,1,,山西,81,你快删了让我发,5,457303456,246616756913
尽揽老头心,男,2024-11-12 09:07:32,0,,四川,81,三年了多更点,5,396651298,246616833377
ー棯薀渘,女,2024-11-12 09:07:35,0,,广东,81,还会有第三个嘛,6,21051101,246928374832
bili_62763949686,保密,2024-11-12 09:07:44,1,,广东,81,会说你就多吃点[doge],4,626500635,246928306704
我才不会真香呢,保密,2024-11-12 09:08:27,0,,重庆,81,哈哈哈哈哈哈哈哈哈哈哈,5,285823084,246616778977
椰子不辣叶子辣,男,2024-11-12 09:09:36,0,,福建,81,你更着 硬币管够,6,14640655,246617043297
姑射落孤桐,保密,2024-11-12 09:10:04,0,,安徽,81,抢我词儿[藏狐],4,1094873662,246616980961
一头象象,女,2024-11-12 09:10:49,1,,江苏,81,腹泻式三连,6,23665966,246616939585
爱说话的树洞,保密,2024-11-12 09:11:28,0,,福建,81,哈哈哈哈哈哈,5,2053500663,246617083409
鬼头桃菜我的菜,男,2024-11-12 09:12:35,0,,湖南,81,我狠狠地吃[歪嘴],6,107292723,246928745904
封-子,女,2024-11-12 09:12:47,0,,广西,81,希望多腹泻几次[doge][doge][doge],6,245081112,246928691776
山水虚深万籁潇潇,女,2024-11-12 09:13:18,0,,重庆,81,我喜欢[doge_金箍],5,411661900,246928606592
土豆炖菠萝_,男,2024-11-12 09:13:25,1,,广东,81,三年多了，连更30条库存很合理啊，这才两条[doge_金箍],5,501986068,246617285601
反骨只因_sxm吖,女,2024-11-12 09:13:58,1,,湖北,81,快点，删了我发[保卫萝卜_哭哭][酸了],6,516205642,246928781712
深深沉辰,保密,2024-11-12 09:14:06,0,,江西,81,太震惊了，竟然真的更新了[热词系列_好耶],6,470877394,246617249473
斑鸠atri,保密,2024-11-12 09:14:41,1,,广东,81,犹如便秘多月后突然窜稀般的爽快感,5,689333617,246928827536
风从耳边掠过,保密,2024-11-12 09:15:51,0,,山东,81,可以可以[呲牙],6,100760756,246617376145
第五个月亮,保密,2024-11-12 09:15:53,0,,山西,81,爱死[doge][脱单doge],6,3134449,246928913504
微雨访炊烟,保密,2024-11-12 09:16:02,0,,重庆,81,刚看完上一个，一点进主页就又看见一个[doge],6,38225165,246617199873
此昵称消耗了6个硬币,保密,2024-11-12 09:16:31,0,,河北,81,便秘式更新,6,388542880,246617449233
吃俺老康一磅,保密,2024-11-12 09:16:51,1,,海南,81,淹死我谢谢！！！[doge],6,46493860,246617455409
哎呦喂那咋啦,保密,2024-11-12 09:16:57,0,,河南,81,不行 我得再等等 要像看连续剧一样,4,3494365066431067,246617457169
风无处,保密,2024-11-12 09:17:02,0,,重庆,81,你够了[笑哭][笑哭][笑哭][笑哭][笑哭]我刚好在拉肚子，你真的,6,4560894,246617525617
陈籽愿,女,2024-11-12 09:18:00,0,,广东,81,明明是窜稀式[妙啊],5,52270474,246617435649
醉酒丶空山,男,2024-11-12 09:18:02,0,,上海,81,我也想说，笑死了,6,150539722,246929084064
猫猫今天洗头了吗,保密,2024-11-12 09:18:11,0,,广东,81,哈哈哈话糙理不糙,5,434574086,246617548129
齐无霞,女,2024-11-12 09:18:54,0,,四川,81,奈斯,4,5449034,246929109200
南鸢笔录,保密,2024-11-12 09:19:54,0,,广东,81,本来还很感慨，一看到你这个形容，噗嗤笑了出来哈哈哈[喜极而泣],5,295010348,246929033472
長澤雅咩,保密,2024-11-12 09:20:03,0,,广西,81,再探再报[打call],6,108851994,246617585329
